,Period,Description
0,Overnight,"Mostly clear, with a steady temperature around 48. Calm wind. "
1,Saturday,"Sunny, with a high near 64. Light and variable wind. "
2,Saturday Night,"Partly cloudy, with a low around 44. West wind 5 to 7 mph becoming calm  after midnight. "
3,Sunday,"Mostly sunny, with a high near 62. North northwest wind 3 to 7 mph. "
4,Sunday Night,"Patchy fog after 4am.  Otherwise, partly cloudy, with a low around 46. West wind 5 to 8 mph. "
5,Monday,"Patchy fog before 8am.  Otherwise, mostly cloudy, with a high near 59."
6,Monday Night,"Mostly cloudy, with a low around 47."
7,Tuesday,"Patchy fog before 9am.  Otherwise, mostly cloudy, with a high near 58."
8,Tuesday Night,"Mostly cloudy, with a low around 48."
9,Wednesday,"Mostly sunny, with a high near 60."
10,Wednesday Night,"Partly cloudy, with a low around 46."
11,Thursday,"A slight chance of rain.  Partly sunny, with a high near 59."
12,Thursday Night,"A chance of rain.  Mostly cloudy, with a low around 47."
13,Friday,"A chance of rain.  Partly sunny, with a high near 59."
